iter	Logloss
166	0.5902287822
167	0.5896391929
168	0.589279924
169	0.5887082463
170	0.5878419856
171	0.5873024238
172	0.5868408356
173	0.586336827
174	0.5858520239
175	0.5853411323
176	0.5849051811
177	0.584477892
178	0.5836555913
179	0.5833143972
180	0.5829588562
181	0.5823105897
182	0.5819398002
183	0.5816106944
184	0.5810147755
185	0.5804746734
186	0.5800449216
187	0.5796963737
188	0.5790221021
189	0.5785016217
190	0.5780529652
191	0.5775067537
192	0.5769530524
193	0.5763287676
194	0.5757489708
195	0.575262325
196	0.574959693
197	0.5744115587
198	0.5739303394
199	0.5732932137
200	0.5727331971
201	0.5720120386
202	0.5715255932
203	0.5708629498
204	0.5705337989
205	0.5699370435
206	0.5693410874
207	0.5687222166
208	0.5681331609
209	0.5674357413
210	0.5670500875
211	0.5665722063
212	0.5660874653
213	0.5655028204
214	0.56498871
215	0.5644565216
216	0.5637765646
217	0.5633146086
218	0.5630348117
219	0.562659753
220	0.5622179828
221	0.5617280214
222	0.5613230204
223	0.560831202
224	0.5602819621
225	0.559940985
226	0.5596006457
227	0.5589196641
228	0.5583586232
229	0.5579462152
230	0.5574929497
231	0.5570240332
232	0.5564072547
233	0.5559692577
234	0.5555765457
235	0.5548179594
236	0.5544928296
237	0.553926919
238	0.5533562634
239	0.5526967813
240	0.5522288134
241	0.5517577982
242	0.5512773961
243	0.5508224217
244	0.5503168972
245	0.5499809106
246	0.5495297019
247	0.5491506974
248	0.5488209624
249	0.5481541947
250	0.5477801107
251	0.5474061566
252	0.5469066548
253	0.5466926571
254	0.5462030527
255	0.5458016701
256	0.5454615671
257	0.5450259789
258	0.5445757428
259	0.544071888
260	0.5437249373
261	0.5432071212
262	0.54295892
263	0.5423166845
264	0.5418436332
265	0.5412040008
266	0.5408224499
267	0.540394255
268	0.5398951042
269	0.5393735282
270	0.5389214244
271	0.5382611143
272	0.5377276072
273	0.5373785768
274	0.5367803941
275	0.5363968867
276	0.5360194078
277	0.5358078541
278	0.5352910909
279	0.5348455035
280	0.5343906323
281	0.533786744
282	0.5333510848
283	0.5328722885
284	0.5325486581
285	0.5320424243
286	0.5317507099
287	0.5314491625
288	0.5310521354
289	0.5307689054
290	0.530344935
291	0.529863905
292	0.5295511933
293	0.5289532288
294	0.5283985996
295	0.5279316698
296	0.5276862862
297	0.5272673225
298	0.5269349667
299	0.526440741
300	0.5257788167
301	0.5253261356
302	0.5248522469
303	0.5243882526
304	0.5239570186
305	0.5237138833
306	0.5233970403
307	0.5230564437
308	0.5225145795
309	0.522073032
310	0.5217102741
311	0.5211746033
312	0.520671967
313	0.5203625853
314	0.5197785027
315	0.5192842076
316	0.5188265536
317	0.5183348658
318	0.5180080267
319	0.5173786367
320	0.5168867434
321	0.5163897978
322	0.5159405769
323	0.5155734268
324	0.5152001608
325	0.5147916091
326	0.5142608689
327	0.5139386816
328	0.5135506469
329	0.5130201543
330	0.5125952611
331	0.5122330074
332	0.5118996548
333	0.5112950466
334	0.5109454466
335	0.5104339842
336	0.5099514143
337	0.5094395622
338	0.5088614157
339	0.5084944477
340	0.5082033969
341	0.5077459627
342	0.5073531852
343	0.5068630617
344	0.5062834572
345	0.5059927582
346	0.5054369647
347	0.5049500472
348	0.5045050474
349	0.5040288699
350	0.5037447445
351	0.5033386207
352	0.5027153578
353	0.5021771178
354	0.5015587885
355	0.5009507692
356	0.5005947898
357	0.5002004494
358	0.4996489024
359	0.4992143752
360	0.4988605879
361	0.4984419982
362	0.4979440945
363	0.4974882542
364	0.4970223048
365	0.4966702386
366	0.4962662078
367	0.496018468
368	0.4956504004
369	0.4953899216
370	0.4950454852
371	0.494594275
372	0.494147948
373	0.4937075769
374	0.4932346979
375	0.4928465022
376	0.4924204292
377	0.4918880229
378	0.4912527414
379	0.4908533109
380	0.4904031092
381	0.4899483925
382	0.4894525123
383	0.4887557048
384	0.488211923
385	0.4874459052
386	0.4870201767
387	0.4864602722
388	0.4861846939
389	0.4857723471
390	0.485155501
391	0.4848312221
392	0.4842187742
393	0.4836908426
394	0.4832549547
395	0.4827123397
396	0.4823209968
397	0.4818171875
398	0.4814192406
399	0.4809315187
400	0.4805222829
401	0.4801851468
402	0.4797302672
403	0.4792389626
404	0.478736805
405	0.4782518701
406	0.4777941661
407	0.4773319369
408	0.4767501265
409	0.476261391
410	0.4758281388
411	0.475383995
412	0.4749258087
413	0.4744398358
414	0.4740376281
415	0.4734975978
416	0.4729920225
417	0.4725158001
418	0.4720851443
419	0.4716895176
420	0.4713034044
421	0.4707468328
422	0.470246589
423	0.4698837726
424	0.4695246204
425	0.4690202516
426	0.468687954
427	0.4683090389
428	0.467802269
429	0.4675467227
430	0.466963641
431	0.4663444563
432	0.4659437859
433	0.4656557096
434	0.4652482852
435	0.4648593756
436	0.4644258953
437	0.4640264407
438	0.4633970396
439	0.4628222702
440	0.4623921104
441	0.4619649564
442	0.4615053097
443	0.4611876625
444	0.4607022724
445	0.460361671
446	0.4600026806
447	0.4596198613
448	0.4592580579
449	0.4588839295
450	0.4582526581
451	0.4576101824
452	0.4572125283
453	0.4566772067
454	0.4561955156
455	0.4556210447
456	0.4550168821
457	0.4544737334
458	0.4540540519
459	0.4534468994
460	0.4528029603
461	0.4524551431
462	0.4519348743
463	0.4514255582
464	0.4509296334
465	0.4504241444
466	0.449944527
467	0.4496287353
468	0.4492179782
469	0.4487614208
470	0.4484318178
471	0.4478691119
472	0.4472717149
473	0.4468949657
474	0.4464948459
475	0.4461383414
476	0.4455951414
477	0.4451345566
478	0.4448730737
479	0.444427844
480	0.4438700736
481	0.4434940603
482	0.4427570378
483	0.4421414526
484	0.4417154186
485	0.4412815321
486	0.4407685733
487	0.4401700981
488	0.4397140149
489	0.4392178398
490	0.4387624235
491	0.4382486539
492	0.4378639846
493	0.4373204781
494	0.4369379517
495	0.4364944261
496	0.4360742721
497	0.4355068458
498	0.4351396262
499	0.4346002711
500	0.4343060608
501	0.4337555783
502	0.4332152193
503	0.4326442581
504	0.4321931906
505	0.431626087
506	0.4312268509
507	0.4308061534
508	0.4303009239
509	0.4299363817
510	0.4293591696
511	0.4289155363
512	0.428670007
513	0.4283555823
514	0.4279312189
515	0.4274032053
516	0.4271273377
517	0.4268003005
518	0.4262835625
519	0.4258815718
520	0.4255965421
521	0.4250737756
522	0.4245900429
523	0.4240743748
524	0.4236602354
525	0.4231439615
526	0.4224852603
527	0.4217207363
528	0.4212387948
529	0.4207454301
530	0.420394984
531	0.4198715136
532	0.4193683314
533	0.4187426848
534	0.4184223095
535	0.4180066394
536	0.4176492993
537	0.4173041877
538	0.4167946697
539	0.4164575375
540	0.4160267073
541	0.4157330938
542	0.4152377966
543	0.4148967775
544	0.4145318694
545	0.4139688842
546	0.4134377862
547	0.4130271352
548	0.4124803619
549	0.4119822607
550	0.411455245
551	0.410936668
552	0.4104431852
553	0.4098376967
554	0.4092358108
555	0.4087065336
556	0.4083221249
557	0.4077849322
558	0.4071946587
559	0.4068249254
560	0.4063606335
561	0.4059460632
562	0.4053358613
563	0.4046912117
564	0.4042614491
565	0.4040014185
566	0.4036381219
567	0.4031265882
568	0.4028308662
569	0.4023299967
570	0.4018657637
571	0.4013751686
572	0.4007620367
573	0.4001784995
574	0.399631199
575	0.3990601984
576	0.3985842639
577	0.3981940067
578	0.3976599365
579	0.3972644828
580	0.3967949729
581	0.3964338942
582	0.395997809
583	0.395708206
584	0.3954022318
585	0.3949949638
586	0.3945785258
587	0.3941621517
588	0.3937250948
589	0.3934039918
590	0.3928550726
591	0.3924667381
592	0.3921140331
593	0.391517093
594	0.3910301509
595	0.3905468843
596	0.390397548
597	0.3898784019
598	0.3894874713
599	0.3889403067
600	0.3886620159
601	0.388285615
602	0.3879477663
603	0.3873991246
604	0.387022109
605	0.3866784835
606	0.3862559953
607	0.3858106948
608	0.3854064713
609	0.3849621788
610	0.384507302
611	0.3840660012
612	0.3836725236
613	0.3831532858
614	0.3826242401
615	0.3823325702
616	0.3818561679
617	0.3813761643
618	0.3810097167
619	0.3805825253
620	0.3800943541
621	0.379764343
622	0.3794198953
623	0.3791663804
624	0.3788324421
625	0.3785493742
626	0.3781375288
627	0.3776541787
628	0.3771820242
629	0.3769734161
630	0.3764827404
631	0.3759806808
632	0.3756635359
633	0.3751459995
634	0.3748875741
635	0.3745157454
636	0.3739412213
637	0.3735765385
638	0.3730641257
639	0.3727116299
640	0.3723076034
641	0.3720182994
642	0.3715474928
643	0.3712725524
644	0.3708961522
645	0.3703324324
646	0.3700354291
647	0.3697078775
648	0.3692913146
649	0.3687893576
650	0.3683567315
651	0.3679138902
652	0.3674922059
653	0.3670381085
654	0.3665600701
655	0.3661719678
656	0.3657153659
657	0.3653726619
658	0.3649006651
659	0.3644861803
660	0.363980727
661	0.3635344363
662	0.3630824992
663	0.3627890815
664	0.3623429284
665	0.3620179327
666	0.3617053319
667	0.3611719807
668	0.3607158148
669	0.3603408586
670	0.3599652726
671	0.359599161
672	0.3591355747
673	0.3587859122
674	0.3584093456
675	0.3580831253
676	0.3577209421
677	0.3572200811
678	0.3568808794
679	0.3566182978
680	0.3562066657
681	0.3556895846
682	0.355209751
683	0.3549238199
684	0.354519506
685	0.3541672966
686	0.3537943629
687	0.353428985
688	0.3531560749
689	0.3526733698
690	0.3522507805
691	0.3517430234
692	0.3513779636
693	0.3509732041
694	0.3506086776
695	0.3502856039
696	0.3499208415
697	0.349675546
698	0.3492377843
699	0.3488709924
700	0.3485363248
701	0.3481106434
702	0.347721656
703	0.3473280906
704	0.3468004939
705	0.3466343929
706	0.3462911862
707	0.345781409
708	0.3453650372
709	0.3451238946
710	0.3448656173
711	0.3445892265
712	0.3442274346
713	0.3438581233
714	0.3433721873
715	0.3430716549
716	0.3427954565
717	0.3423965937
718	0.3418741109
719	0.3413964631
720	0.3411112321
721	0.3405461092
722	0.3402103414
723	0.3398662415
724	0.3395654176
725	0.3391881327
726	0.3388091281
727	0.3385214623
728	0.3380001034
729	0.3376676795
730	0.3372733835
731	0.3368872941
732	0.3364505672
733	0.3361608653
734	0.3358963245
735	0.3355761282
736	0.3351799474
737	0.3348945528
738	0.3345266324
739	0.3341377828
740	0.3337669041
741	0.3334333066
742	0.333099905
743	0.3328006916
744	0.3323290502
745	0.3319640535
746	0.331601521
747	0.3312635481
748	0.3309625885
749	0.3306391245
750	0.3300862619
751	0.329764815
752	0.3293965925
753	0.3290258002
754	0.3287231342
755	0.328284615
756	0.3279658256
757	0.32760333
758	0.327275022
759	0.3268466815
760	0.3264298047
761	0.326129255
762	0.3257311184
763	0.3254199664
764	0.3249824626
765	0.3247023369
766	0.3243709079
767	0.3240392141
768	0.3237383387
769	0.3233303587
770	0.3230944996
771	0.3227058839
772	0.3223722205
773	0.3219398462
774	0.321680448
775	0.3213857003
776	0.3209883262
777	0.3206785249
778	0.320385443
779	0.3201615779
780	0.3198844982
781	0.31969872
782	0.3194055686
783	0.3190876819
784	0.3187801673
785	0.3184036257
786	0.3181411676
787	0.3177775259
788	0.3175004824
789	0.317081527
790	0.3167236861
791	0.3163373736
792	0.3159235022
793	0.3156527942
794	0.3153970457
795	0.3151222178
796	0.3147884643
797	0.3144321405
798	0.3141071358
799	0.3137693556
