iter	Passed	Remaining
387	2135	2267
388	2138	2259
389	2142	2252
390	2149	2248
391	2153	2241
392	2161	2238
393	2171	2237
394	2177	2232
395	2182	2226
396	2187	2220
397	2192	2214
398	2195	2206
399	2199	2199
400	2202	2191
401	2205	2183
402	2208	2176
403	2212	2168
404	2215	2160
405	2218	2153
406	2222	2145
407	2225	2138
408	2234	2136
409	2245	2135
410	2249	2129
411	2253	2122
412	2257	2114
413	2263	2110
414	2269	2105
415	2274	2099
416	2278	2092
417	2281	2085
418	2284	2077
419	2288	2070
420	2291	2062
421	2294	2055
422	2297	2047
423	2300	2040
424	2304	2033
425	2308	2027
426	2311	2019
427	2315	2012
428	2317	2004
429	2323	1999
430	2327	1993
431	2331	1985
432	2335	1979
433	2338	1972
434	2343	1965
435	2346	1958
436	2349	1952
437	2353	1945
438	2357	1938
439	2360	1931
440	2364	1924
441	2366	1917
442	2371	1911
443	2375	1904
444	2378	1897
445	2382	1890
446	2386	1884
447	2392	1879
448	2396	1873
449	2400	1867
450	2405	1861
451	2410	1855
452	2414	1849
453	2419	1843
454	2424	1838
455	2427	1831
456	2432	1825
457	2437	1820
458	2442	1814
459	2455	1815
460	2459	1808
461	2463	1802
462	2467	1795
463	2471	1789
464	2475	1783
465	2479	1777
466	2485	1772
467	2491	1767
468	2494	1760
469	2498	1754
470	2502	1748
471	2506	1741
472	2510	1735
473	2513	1728
474	2516	1721
475	2520	1715
476	2523	1708
477	2526	1702
478	2529	1694
479	2534	1689
480	2537	1683
481	2541	1677
482	2544	1670
483	2547	1663
484	2550	1656
485	2554	1650
486	2557	1643
487	2560	1636
488	2563	1630
489	2566	1623
490	2571	1618
491	2574	1611
492	2578	1605
493	2581	1598
494	2585	1593
495	2589	1587
496	2592	1580
497	2595	1574
498	2598	1567
499	2603	1561
500	2608	1556
501	2612	1550
502	2616	1545
503	2623	1540
504	2626	1534
505	2631	1529
506	2639	1525
507	2645	1520
508	2649	1514
509	2654	1509
510	2658	1503
511	2661	1497
512	2665	1491
513	2670	1485
514	2674	1479
515	2686	1478
516	2702	1479
517	2712	1476
518	2718	1471
519	2724	1466
520	2743	1469
521	2753	1466
522	2758	1461
523	2767	1457
524	2777	1455
525	2786	1451
526	2791	1446
527	2797	1441
528	2804	1436
529	2809	1431
530	2815	1426
531	2822	1421
532	2826	1415
533	2836	1412
534	2843	1408
535	2851	1404
536	2888	1414
537	2912	1418
538	2941	1424
539	2949	1420
540	2955	1415
541	2960	1409
542	2971	1406
543	2976	1400
544	2982	1395
545	2988	1390
546	2992	1384
547	2997	1378
548	3004	1373
549	3008	1367
550	3014	1362
551	3020	1356
552	3024	1350
553	3030	1345
554	3034	1339
555	3039	1333
556	3044	1328
557	3049	1322
558	3054	1316
559	3058	1310
560	3063	1304
561	3067	1298
562	3072	1293
563	3077	1287
564	3083	1282
565	3087	1276
566	3091	1270
567	3100	1266
568	3106	1261
569	3112	1255
570	3117	1250
571	3122	1244
572	3130	1240
573	3134	1234
574	3140	1228
575	3149	1224
576	3153	1218
577	3158	1213
578	3166	1208
579	3171	1203
580	3179	1198
581	3184	1192
582	3188	1186
583	3193	1181
584	3197	1175
585	3200	1168
586	3204	1162
587	3209	1157
588	3213	1151
589	3218	1145
590	3226	1141
591	3233	1136
592	3238	1130
593	3243	1124
594	3247	1118
595	3252	1113
596	3257	1107
597	3262	1102
598	3267	1096
599	3272	1090
600	3277	1085
601	3283	1079
602	3299	1077
603	3315	1075
604	3321	1070
605	3328	1065
606	3336	1060
607	3341	1055
608	3345	1049
609	3349	1043
610	3354	1037
611	3367	1034
612	3371	1028
613	3377	1023
614	3380	1017
615	3384	1010
616	3387	1004
617	3394	999
618	3397	993
619	3400	987
620	3405	981
621	3409	975
622	3412	969
623	3415	963
624	3418	957
625	3422	951
626	3426	945
627	3429	939
628	3433	933
629	3436	927
630	3441	921
631	3444	915
632	3447	909
633	3451	903
634	3455	897
635	3459	892
636	3462	886
637	3466	880
638	3469	874
639	3472	868
640	3476	862
641	3479	856
642	3482	850
643	3486	844
644	3489	838
645	3495	833
646	3498	827
647	3501	821
648	3504	815
649	3508	809
650	3512	804
651	3515	798
652	3522	792
653	3526	787
654	3529	781
655	3532	775
656	3535	769
657	3539	763
658	3543	758
659	3547	752
660	3550	746
661	3554	740
662	3557	735
663	3562	729
664	3571	725
665	3576	719
666	3584	714
667	3590	709
668	3597	704
669	3602	699
670	3607	693
671	3615	688
672	3623	683
673	3628	678
674	3632	672
675	3638	667
676	3643	661
677	3646	656
678	3650	650
679	3655	645
680	3659	639
681	3663	633
682	3666	628
683	3670	622
684	3673	616
685	3677	611
686	3681	605
687	3689	600
688	3694	595
689	3699	589
690	3707	584
691	3712	579
692	3720	574
693	3728	569
694	3733	564
695	3740	558
696	3752	554
697	3758	549
698	3762	543
699	3769	538
700	3776	533
701	3783	528
702	3793	523
703	3797	517
704	3803	512
705	3808	507
706	3812	501
707	3817	496
708	3822	490
709	3825	484
710	3828	479
711	3832	473
712	3835	468
713	3839	462
714	3843	456
715	3849	451
716	3856	446
717	3861	440
718	3867	435
719	3873	430
720	3877	424
721	3885	419
722	3892	414
723	3899	409
724	3917	405
725	3925	400
726	3938	395
727	3945	390
728	3956	385
729	3961	379
730	3968	374
731	3974	369
732	3978	363
733	3983	358
734	3990	352
735	3996	347
736	4002	342
737	4006	336
738	4009	330
739	4014	325
740	4020	320
741	4024	314
742	4030	309
743	4035	303
744	4040	298
745	4043	292
746	4047	287
747	4051	281
748	4054	276
749	4057	270
750	4060	264
751	4064	259
752	4068	253
753	4070	248
754	4074	242
755	4080	237
756	4084	231
757	4087	226
758	4091	220
759	4094	215
760	4099	210
761	4102	204
762	4107	199
763	4111	193
764	4117	188
765	4121	182
766	4125	177
767	4129	172
768	4133	166
769	4137	161
770	4141	155
771	4145	150
772	4150	144
773	4154	139
774	4158	134
775	4162	128
776	4166	123
777	4170	117
778	4173	112
779	4178	107
780	4183	101
781	4186	96
782	4190	90
783	4194	85
784	4199	80
785	4205	74
786	4214	69
787	4220	64
788	4225	58
789	4232	53
790	4237	48
791	4241	42
792	4247	37
793	4251	32
794	4255	26
795	4260	21
796	4266	16
797	4270	10
798	4276	5
799	4280	0
